PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=53.5 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=90.6 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=84.3 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=79.6 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=77.6 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=51.4 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=51.4 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=80.2 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=83.1 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=67.2 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=56.7 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=70.1 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=69.8 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=50.6 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=52.6 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=55.1 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=49.0 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=54.1 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=78.7 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=56.9 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=58.6 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=90.9 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=87.1 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=64.1 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=81.1 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=73.2 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=63.0 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=50.8 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=68.4 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=51.2 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=51.2 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=85.6 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=51.4 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=59.7 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=76.3 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=47.3 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=79.4 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=94.2 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=48.7 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=74.9 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=51.7 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=56.5 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=62.0 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=62.7 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=52.4 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=77.3 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99156ms
rtt min/avg/max/mdev = 47.324/69.671/373.172/33.889 ms
Ping test completed in 99 seconds.
