PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=64.7 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=74.7 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=63.5 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=90.1 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=84.8 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=71.7 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=69.2 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=86.9 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=68.0 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=89.9 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=98.7 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=75.9 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=88.9 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=95.7 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=75.8 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=89.9 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=82.3 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99164ms
rtt min/avg/max/mdev = 44.610/73.252/108.630/16.633 ms
Ping test completed in 99 seconds.
